text,created_at,lang
RT  azyazarozyazarr  Yeliz Koray ın bugün yazdığı  YERİM DESTANINIZI   isimli yazı 
Bu yazının altına imzamı atıyorum  milyonlarca insanın… ,Sat Jul 15 19:46:54 +0000 2017 ,tr 
RT  nrsnyldrm  Zamanında Apo piçine sayın  Feto piçine hoca diyen yavşaklardan olmadık 
YAŞA MUSTAFA KEMAL PAŞA YAŞA  ,Sat Jul 15 18:07:26 +0000 2017 ,tr 
RT  alperment  Demokrasiyi yok edip yerine Teokratik bir düzen kurmaya çalışanların Demokrasi nöbeti tutması  ya nöropiskolojik bir vakadır… ,Sat Jul 15 10:28:11 +0000 2017 ,tr 
RT  tolunaybeydicen  ARZ EDERİM
BENİM DESTANIM 18 Mart 
EGEMENLİĞİM 23 Nisan 
BAĞIMSIZLIĞIM 19 Mayıs 
ZAFERİM 30 Ağustos 
DEMOKRASİM 29 Eki… ,Sat Jul 15 10:19:15 +0000 2017 ,tr 
RT  kukumela  kediler bulundukları yerin şeklini alırlar   ,Fri Jul 14 20:05:37 +0000 2017 ,tr 
 disloyaltyy Benim yanımdalar ,Fri Jul 14 20:01:19 +0000 2017 ,tr 
Daha fazlasını isterken elimdekileri de kaybetmekten yoruldum ,Fri Jul 14 17:40:53 +0000 2017 ,tr 
RT  beklentileruzer    Hayal kırıklığı nedir 
 13′ünde dünyayı değiştirecek planlar yaparken  yaşın büyüdükçe odanı dahi değiştiremeyeceğin… ,Fri Jul 14 01:26:53 +0000 2017 ,tr 
RT  icarusvari  ilişki anlayışınız karşıdakini darlayıp aldığı nefese kadar hesap sormak olduğu için evet benden iğrenç bi sevgili olur  ,Fri Jul 14 01:26:11 +0000 2017 ,tr 
RT  tolunaybeydicen  Halledemeyeceğiz  ,Fri Jul 14 01:24:37 +0000 2017 ,tr 
RT  beklentileruzer  Tenimdeki tüm yaraların geçeceğini biliyorum  İz kalmasını problem etmem  yara izlerini seviyorum ben  ,Fri Jul 14 01:24:18 +0000 2017 ,tr 
Göze alabildiğin kadar yaşarsın hayatı ,Fri Jul 14 01:21:55 +0000 2017 ,tr 
Bende finansal köle istiyorum ya ,Thu Jul 13 17:34:43 +0000 2017 ,tr 
RT  MTanal  Ne şeriat ne darbe Yaşasın tam bağımsız demokratik laik Türkiye ,Thu Jul 13 13:48:08 +0000 2017 ,tr 
Bu dünya yükseklik korkusu olan insanı bir binanın çatısından atlatacak kadar acımasızdı belki de ,Wed Jul 12 23:40:06 +0000 2017 ,tr 
RT  alpixella  bu tiviti sadece şerefsizler fav ve rt atabilir ,Wed Jul 12 21:14:26 +0000 2017 ,tr 
 kukumela Seni seviyorum ,Wed Jul 12 19:59:57 +0000 2017 ,tr 
RT  action  man  Hiçbir şey yazmadan ülkenin iki farklı görüşünü anlat deseler ancak bu kadar güzel anlatılabilirmiş   ,Mon Jul 10 10:49:09 +0000 2017 ,tr 
Yalnız bilet alırken çantadan çorabımı düşürmem ve adamın hanfendi çorabınız düştü diye bağırması         ,Mon Jul 10 03:09:20 +0000 2017 ,tr 
Sabahın 5 inde kalktım amk ,Mon Jul 10 03:08:32 +0000 2017 ,tr 
Ulan sivas benim senden çektiğim nedir nediiiiir     1 1 1 1  ,Mon Jul 10 03:08:14 +0000 2017 ,tr 
Hayatımda sünnet düğünü kadar saçma bir şey görmedim ya neden çocuğun çükü kesiliyor diye düğün yapar ki bir insan ,Sat Jul 08 10:00:31 +0000 2017 ,tr 
 caglarakgll Abi midem bulandı amk ,Sat Jul 08 09:55:42 +0000 2017 ,tr 
Ya bu uyku felçlerinden ben bıktım sen bıkmadın karabasan kardeş ,Sat Jul 08 09:43:31 +0000 2017 ,tr 
Neler hissettiğimi anlamanız için illa ölmem mi gerekiyor orospu çocukları ,Fri Jul 07 23:55:15 +0000 2017 ,tr 
Bazılarınızı engelliyorsam beni sinirlendirebildiğinizden değil bu kadar aptallığa tahammülüm olmadığındandır ,Fri Jul 07 23:53:16 +0000 2017 ,tr 
Birlikte intihar planları yapabileceğim biriyle tanıştım çok mutluyum ,Fri Jul 07 23:51:27 +0000 2017 ,tr 
Oysa ben evi günde 3 defa temizlemeye razıydım eğer annem evde kedi beslememe izin verseydi       ,Fri Jul 07 23:50:55 +0000 2017 ,tr 
RT  kukumela  küçükken ayağı ağrıyor diye arkadaşımı hocaya götürmüşlerdi hoca gelip okudu diğer ayağı da ağrımaya başladı o günden beri di… ,Fri Jul 07 23:49:41 +0000 2017 ,tr 
Biri saçımla oynasa da uyusam ya amk ,Fri Jul 07 21:23:48 +0000 2017 ,tr 
Sanırım kusucaö ,Fri Jul 07 21:23:30 +0000 2017 ,tr 
Bugün günlerden sabaha kadar balkonda oturup sigara içmek      ,Fri Jul 07 21:07:36 +0000 2017 ,tr 
RT  feyzaltun  Hani tecavüz deyince kafan basmıyor  bak ne güzel örneklemiş kardeşim   ,Fri Jul 07 20:55:46 +0000 2017 ,tr 
Gideyim de menemen yapayım bari nede olsa bildiğim tek yemek     ,Fri Jul 07 19:27:06 +0000 2017 ,tr 
Bu kadar kalpsiz bu kadar kırıcı bu kadar duygusuz olmayın nolur ,Fri Jul 07 01:11:42 +0000 2017 ,tr 
İnsan olduğunuzu ve karşınızdakinin insan olduğunu unutmayın nolur ,Fri Jul 07 01:10:37 +0000 2017 ,tr 
Of kahvaltıya gidecektik uyanmayı unuttum amk amk amk ,Thu Jul 06 11:41:29 +0000 2017 ,tr 
Gidecek bir yerim yoktu  sen benim kalabileceğim tek yeri yaktın  ,Wed Jul 05 22:52:05 +0000 2017 ,tr 
