,0,1
0,RT,59
1,bir,28
2,amk,23
3,ya,20
4,kadar,20
5,ben,19
6,bu,18
7,de,18
8,orospu,16
9,ne,16
10,çok,15
11,diye,14
12,için,14
13,da,13
14,gibi,13
15,şey,12
16,o,11
17,ve,10
18,Ben,10
19,sen,10
20,mi,9
21,Ulan,9
22,mutlu,9
23,var,9
24,beni,9
25,Ya,9
26,nrsnyldrm,9
27,benim,8
28,bana,8
29,değil,8
30,yok,8
31,her,7
32,çocuğu,7
33,arkadaşlar,7
34,böyle,7
35,kanka,6
36,nasıl,6
37,çocukları,6
38,sonra,6
39,insan,6
40,olan,6
41,Bu,6
42,ki,6
43,mu,6
44,sizi,6
45,siz,6
46,kukumela,6
47,seni,6
48,tek,5
49,yine,5
50,daha,5
51,disloyaltyy,5
52,bi,5
53,en,5
54,oluyorum,5
55,beklentileruzer,5
56,olmak,5
57,olduğunu,5
58,1,5
59,senin,5
60,amına,5
61,ulan,4
62,niye,4
63,Bazı,4
64,diyor,4
65,güzel,4
66,Tanrı,4
67,göre,4
68,Beni,4
69,TanerOZ7,4
70,biraz,4
71,demek,4
72,bile,4
73,size,4
74,kız,4
75,gerizekalı,4
76,hemen,4
77,iyi,4
78,zaman,4
79,tolunaybeydicen,4
80,Kızım,4
81,Olum,4
82,mı,4
83,sana,4
84,5,4
85,yoksa,3
86,bıktım,3
87,iki,3
88,yapmak,3
89,Yine,3
90,🙄,3
91,balkonda,3
92,caglarakgll,3
93,Fatality794,3
94,böcek,3
95,sevgilin,3
96,bak,3
97,gün,3
98,yemek,3
99,Arkadaşlar,3
100,şeyler,3
101,oluyor,3
102,artık,3
103,şu,3
104,istiyorum,3
105,Hayat,3
106,olduğunuzu,3
107,çocuk,3
108,iğrenç,3
109,yiyip,3
110,Bugün,3
111,bahargunes435,3
112,olup,3
113,seviyorum,3
114,kapalı,3
115,olur,3
116,ama,3
117,zor,3
118,fak,3
119,yapayım,3
120,olarak,3
121,görüp,3
122,nedir,3
123,tecavüz,3
124,belki,3
125,annem,3
126,Canım,3
127,geliyor,3
128,Of,3
129,hiç,3
130,yapıyor,3
131,kızlar,3
132,insanı,2
133,YAŞA,2
134,aralar,2
135,Büşra,2
136,atmak,2
137,oda,2
138,faiz,2
139,Ne,2
140,başı,2
141,kendini,2
142,boka,2
143,sikerim,2
144,kadın,2
145,burda,2
146,anlat,2
147,içim,2
148,öyle,2
149,neye,2
150,galiba,2
151,saçımla,2
152,insanlara,2
153,çünkü,2
154,tahammül,2
155,olmalı,2
156,pırasa,2
157,tanrı,2
158,falan,2
159,beri,2
160,tam,2
161,biz,2
162,dedik,2
163,finansal,2
164,kim,2
165,Hani,2
166,şeyi,2
167,Fi,2
168,saçımı,2
169,ihtiyaç,2
170,alırken,2
171,Neden,2
172,Benim,2
173,ülke,2
174,önem,2
175,sizin,2
176,Biri,2
177,tüm,2
178,alıyorum,2
179,ciddi,2
180,üzmeyin,2
181,yavuzz,2
182,ULAN,2
183,ile,2
